Bigram,Count
на,4859
ро,3793
ли,3656
ст,3645
по,3553
ко,3417
ов,3123
та,3003
пр,2882
ра,2829
ал,2818
ни,2800
ва,2751
ти,2738
го,2582
ав,2573
ка,2571
ла,2518
но,2425
ан,2409
ть,2393
сь,2379
ом,2341
ві,2305
ри,2280
то,2259
ог,2241
ар,2236
од,2233
ні,2188
ат,2165
ки,2160
за,2152
ви,2120
вс,2094
во,2094
ло,2093
ор,2082
ос,2077
ьк,1996
ол,1931
до,1881
ин,1831
ив,1807
об,1751
тр,1738
ся,1704
ів,1686
ий,1679
ід,1649
ит,1643
ис,1633
ас,1530
ма,1501
як,1499
да,1489
ам,1444
ми,1434
ди,1400
ту,1397
рі,1376
ля,1339
мо,1337
ль,1334
лі,1305
ак,1303
от,1299
ил,1279
ку,1252
их,1246
ня,1210
ру,1180
іл,1168
бу,1153
па,1148
нн,1147
ті,1144
пі,1134
им,1134
ок,1122
що,1116
ик,1112
он,1088
му,1068
мі,1059
ій,1052
ін,1046
ут,1035
ну,1034
сл,1032
ча,1024
кі,1012
чи,998
кр,998
бо,995
сі,968
ці,967
ад,951
дн,950
га,939
аз,935
ул,895
оз,893
ув,883
ді,871
вн,854
си,850
ду,841
іс,839
зн,835
ши,832
ба,809
рн,800
са,797
ої,789
ур,778
бр,776
би,775
со,738
ою,737
ск,730
ян,689
бі,688
іт,687
ус,675
хо,674
гр,670
св,663
із,660
оч,651
ах,650
оп,648
ай,645
др,630
ят,628
чн,627
лю,609
жи,601
зв,599
сп,596
ря,589
вл,586
ук,580
ич,578
пи,576
ха,575
ач,574
кл,574
сн,566
ап,563
уд,558
ож,552
нс,542
нц,535
рт,533
ає,526
мн,526
тв,518
су,515
аб,514
вр,512
лу,511
нь,511
аг,511
ім,508
ць,498
ир,498
ид,490
ьс,488
нк,478
иц,466
ьо,460
пл,442
жн,432
аж,431
уж,431
чо,429
нт,427
ьн,427
оя,426
уп,415
гу,408
уб,403
бл,402
рд,401
рв,392
іч,388
ця,384
тк,378
рк,375
йн,373
йо,369
рс,367
ют,367
ір,361
яд,360
ох,358
жа,352
ип,350
вш,348
тя,345
гл,345
ву,345
іш,343
ік,342
яв,340
ша,337
из,336
тн,336
йс,335
зм,332
ії,331
тл,329
ум,329
гі,328
нд,327
пу,325
ух,323
аю,320
рм,315
ям,312
чу,311
иш,304
іх,299
зо,299
яр,298
иг,298
шн,292
ун,289
дк,286
вк,286
ги,282
дв,282
дл,280
чк,275
нй,274
лн,273
вя,273
іг,271
аш,270
рш,268
зи,265
см,264
вд,255
ял,254
лк,252
уч,251
аї,251
їн,250
уш,248
зі,247
иб,246
гн,240
шо,239
ищ,236
шк,234
уг,233
зл,229
їх,228
дя,227
ія,227
іб,225
ой,225
дс,225
хи,225
зу,224
чі,222
ош,217
мл,217
хт,217
иі,214
зд,210
ню,210
яз,209
яг,207
шл,206
ац,204
юд,203
лл,201
кн,199
ца,199
зб,198
нї,196
рб,195
жі,195
нш,192
тт,191
вз,190
бз,190
рг,189
ую,187
ср,186
оє,185
зр,184
вт,184
єт,181
бн,181
пк,180
вч,178
їд,176
ує,176
мр,175
зк,174
ьм,174
уз,171
ях,171
іж,171
ху,170
зь,169
іп,169
яс,168
зя,165
ші,162
рц,160
йш,157
юч,157
кт,157
чр,150
кв,148
вв,148
жу,143
лт,141
шу,141
хв,140
ща,140
ци,140
рл,138
дь,138
