Bigram,Count
та,5984
на,5954
го,4755
ли,4717
ро,4574
ка,4404
по,4389
ти,4303
ал,4252
ов,4147
ст,3974
ла,3935
ко,3886
од,3736
ло,3646
пр,3586
ав,3554
ог,3544
за,3518
то,3401
ся,3305
во,3272
ві,3264
ва,3128
ат,3058
до,2990
ки,2981
ра,2967
ть,2900
ви,2865
ри,2835
ол,2831
но,2636
мо,2609
об,2570
ом,2550
ні,2547
ос,2524
ма,2512
ив,2490
ит,2465
ди,2383
ни,2348
ор,2342
сь,2298
як,2229
ак,2178
вс,2138
ис,2099
да,2096
чи,2070
ну,2051
ин,2041
ил,2037
ам,1931
тр,1917
ку,1899
що,1899
ар,1876
ас,1818
от,1797
он,1771
ьк,1761
ми,1760
ан,1756
ля,1734
ий,1732
ув,1724
іл,1704
им,1696
ба,1629
ру,1628
ті,1601
чі,1599
ді,1565
ду,1535
ін,1515
ід,1511
бу,1482
оч,1469
ха,1460
пі,1430
па,1414
хо,1406
рі,1401
ок,1375
ів,1366
га,1330
ул,1319
лі,1319
бо,1318
ль,1308
іп,1297
дн,1257
йо,1257
си,1252
оз,1241
кр,1211
ад,1195
му,1195
аз,1193
ск,1183
би,1145
сл,1138
бі,1130
пк,1127
ту,1113
пи,1103
ає,1102
ут,1085
св,1078
их,1056
ою,1018
іт,1014
бр,993
лю,992
зн,989
чо,957
со,904
жи,904
аж,888
ик,872
ьс,861
ож,857
лу,857
ши,852
ча,848
гр,844
ня,844
ус,838
уд,835
са,830
ці,816
сп,809
ид,802
мі,798
ум,782
ої,781
ря,776
ач,764
оп,762
рн,757
мн,757
ай,752
іс,751
аб,750
ят,707
ох,696
ій,681
иц,677
ву,675
сі,674
др,658
дв,655
нь,644
кі,643
ік,616
вр,610
аю,601
ук,595
гл,594
ах,585
чу,585
тя,583
ир,582
уж,582
ір,561
пл,543
ць,534
нк,532
гу,528
уг,526
чк,523
ур,522
ап,514
ич,505
вл,504
аг,504
уш,498
шн,485
іч,484
вд,474
зд,474
жа,472
рт,468
сн,465
яв,458
ян,453
юд,451
уп,450
ша,448
су,447
ьо,446
іш,443
вч,438
рд,438
зв,436
зм,421
хи,421
вш,415
иш,412
кл,410
ср,408
гн,407
жн,406
юч,405
ух,399
із,394
шл,394
ім,392
нн,392
іб,389
вн,385
ял,385
ют,385
тв,384
йш,381
рк,379
ця,377
їх,377
хт,373
вж,373
бл,370
шо,369
аш,367
пу,366
дк,366
тн,362
тк,361
см,355
тп,353
зу,348
вк,346
уб,345
зо,345
ип,344
жу,339
рб,333
шк,332
яд,331
ги,329
єт,327
зи,324
хл,323
ує,308
нс,308
ща,306
мл,304
її,298
уч,296
дя,296
яг,296
зл,293
оя,292
лк,288
кн,284
иб,282
рц,281
ям,275
іж,274
рв,273
іг,272
рш,269
зя,269
ой,267
хр,266
ун,264
дс,263
нм,260
іх,259
ош,259
чр,255
яч,249
ху,248
ші,245
кс,242
жі,240
цю,237
иг,233
їм,228
гі,226
ац,225
оє,225
нц,221
нд,220
ню,211
нв,210
рс,210
бз,206
іє,206
вг,203
жк,203
зі,195
зк,194
шу,193
лн,192
ую,190
пя,184
чн,183
зб,183
вт,183
зг,181
дь,180
мк,179
мр,179
тб,178
рм,176
зр,176
пч,175
ьм,170
из,169
хі,166
іщ,165
єш,164
хн,163
оц,162
йд,161
рл,160
пц,160
жд,155
тт,153
сю,151
рз,150
рю,150
иж,149
ощ,149
зь,148
дм,147
нр,147
сб,146
вя,145
тл,144
рг,143
йм,143
ьш,143
нт,142
ьн,139
вз,137
хв,136
ія,136
нї,135
вп,134
зп,133
юб,133
йн,133
ащ,133
щи,128
дл,128
ях,125
їй,123
дж,123
дд,122
тю,121
бн,118
йт,118
гт,117
яз,116
яж,116
рх,113
тм,113
сх,113
уз,113
йс,112
рж,111
рп,106
ищ,105
яс,104
шт,98
жо,98
яє,97
нч,97
ца,96
рч,96
кв,95
мя,95
дш,95
нб,93
юв,93
нз,92
ая,91
юк,90
лд,90
шв,90
вц,90
єм,88
чт,87
дй,87
пт,84
тс,83
йк,80
жч,80
ію,79
нш,78
сц,78
щі,73
дб,72
аї,71
шп,70
йб,70
лж,69
мс,68
нп,68
тц,68
дт,65
ущ,65
лг,64
дз,64
мт,64
оо,64
зз,64
сс,63
лч,63
цм,63
яр,63
їс,63
пн,62
яю,61
вм,61
єї,60
яй,60
хм,59
дц,58
уй,57
ци,57
єю,56
кб,56
лт,56
їн,55
иї,55
зс,54
їв,53
лл,52
кт,51
чй,51
рщ,51
юг,51
шм,50
яї,49
бк,48
бд,47
чп,47
тч,47
їд,47
вв,46
шс,45
ия,44
чс,44
їт,44
ьц,44
чм,44
цр,44
бс,43
тж,43
вб,43
їз,43
жв,42
дх,42
рь,41
нх,41
лй,41
гд,40
ьт,40
дп,40
лм,40
іц,38
рй,38
мч,38
ії,38
щу,38
зт,37
дг,37
юп,37
фі,37
юр,36
нє,36
вх,36
яш,36
зч,36
юс,35
гк,35
яц,35
тх,35
дч,35
оф,35
нй,34
шь,34
тй,33
уц,33
шй,32
їл,31
цо,31
уу,31
цв,30
нг,30
пє,30
єв,30
яб,29
зї,29
бт,28
ьб,28
ює,28
щн,28
єн,28
юш,28
гв,28
мд,27
жш,27
цу,26
жж,26
дю,25
чч,25
нщ,24
юн,24
юл,24
лв,24
лц,23
мц,23
иє,23
бю,23
лс,22
ио,22
жм,22
чц,21
йч,20
лє,20
цй,20
бя,20
яп,20
юх,20
пс,20
ао,19
цн,19
ьч,19
бє,19
чв,18
мш,18
аа,18
пш,18
иа,18
зх,17
гш,17
жр,17
вщ,17
жб,17
мп,16
жт,16
ьг,16
чл,16
зш,16
щб,16
ау,16
ию,16
бв,16
йв,15
рр,15
бм,15
чш,15
шю,15
бш,15
йр,15
бц,15
ьд,15
пю,15
нл,14
їж,14
кч,14
ьп,14
бх,14
бп,14
иу,13
бч,13
зж,13
пх,13
лб,12
лп,12
шц,12
єд,12
шч,12
тє,12
вю,12
гс,12
тд,12
сє,12
чю,11
щм,11
зц,11
аі,10
мм,10
тщ,10
пв,10
ющ,10
йц,10
чя,10
бг,9
бб,9
вй,9
ящ,9
фл,9
дф,9
фб,9
єє,9
хк,8
гм,8
іа,8
кш,8
єц,8
кя,8
кї,8
ии,8
жц,8
фт,8
уї,8
жл,8
оу,8
юж,7
сй,7
уа,7
цп,7
юю,7
уо,7
єс,7
їщ,7
ьщ,7
юм,7
яа,7
мю,7
оа,7
юз,6
ьі,6
тш,6
вє,6
оі,6
юу,6
дї,6
чз,6
цт,6
фо,6
мй,6
кй,6
йп,6
жя,6
фд,6
цл,6
щп,6
яя,5
лщ,5
ьз,5
яо,5
жс,5
яу,5
сд,5
фа,5
кп,5
рї,5
йг,5
йл,5
мг,5
ья,5
єп,5
шр,5
ьв,5
хс,5
кд,4
уі,4
мб,4
иі,4
шш,4
щд,4
іу,4
єч,4
лз,4
юц,4
ьа,4
іі,4
цс,4
ьу,4
мї,4
жю,4
хд,4
аф,4
чь,4
гй,4
кк,4
уя,4
ои,4
хх,4
їш,4
иф,4
мж,3
хш,3
ьр,3
єа,3
яі,3
юо,3
лр,3
гп,3
чх,3
сш,3
іо,3
цг,3
ьл,3
юі,3
пй,3
фи,3
щт,3
бь,3
їч,3
вь,3
пь,3
сг,3
хч,3
щр,3
бщ,3
єя,2
єз,2
щс,2
гз,2
шз,2
кє,2
шг,2
гг,2
йз,2
юа,2
кц,2
